//This is the Matrix of Operator and Observable
//The horizontal axis order of the observables are listed as below
xsec_eeww_1,xsec_eeww_2,xsec_eeww_3,xsec_eeww_4,xsec_eeww_5,xsec_eeww_6,xsec_eeww_7,xsec_eeww_8
//different energy is seperated to different matrix
//The vertical axis order of the Operators are listed as below
cHQM,cHQP,cpt,cHtb,ctW,cbW,ctB,cpDC,cpl3,cpWB,cllp,cll,cpl,cle,cpe,cpq,cpq3,cpu,cpd,clq1,clq3,clu,cld,ceq,ceu,ced,cee,cpb,clQP,clt,clb,ceqt,cet,ceb,cWWW,cbB,ctH,cbH

//Matrix
-0.0484339,-0.0510526,-0.0518779,-0.0527469,-0.0532652,-0.0533565,-0.0534942,-0.0534718
0.0115054,0.0121777,0.0124,0.0126275,0.0127747,0.0128145,0.0128583,0.0128648
0.0569816,0.0600684,0.0610388,0.0620578,0.0626635,0.0627644,0.0629176,0.062886
-0.00118441,-0.00125185,-0.00127377,-0.00129675,-0.00131119,-0.00131493,-0.00131956,-0.00131999
-0.00867506,-0.00939231,-0.00966169,-0.00991425,-0.0101053,-0.0101931,-0.010251,-0.0102899
0.00078077,0.000832778,0.000850999,0.000867713,0.000879335,0.000882645,0.000884508,0.000885246
0.0215953,0.0226838,0.023013,0.023375,0.0235779,0.0236002,0.023659,0.0236369
-1.31559,-1.38933,-1.41244,-1.43455,-1.4477,-1.44892,-1.45229,-1.45771
-1.46629,-1.50237,-1.51229,-1.51027,-1.49843,-1.48997,-1.47306,-1.467
-2.77738,-2.89562,-2.92942,-2.96604,-2.98056,-2.97443,-2.98534,-2.98249
2.62782,2.7763,2.8191,2.8663,2.89062,2.89743,2.90862,2.90528
0,0,0,0,0,0,0,0
-0.143576,-0.188133,-0.210232,-0.239538,-0.265864,-0.279375,-0.300756,-0.310412
0,0,0,0,0,0,0,0
-0.145031,-0.179345,-0.194436,-0.212663,-0.228585,-0.235157,-0.246675,-0.251544
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0.0241637,0.0346488,0.038794,0.0464629,0.0527918,0.057166,0.0619104,0.0652967
0.00359841,0.00376872,0.00381785,0.00387147,0.00389945,0.00389776,0.00390214,0.00389536
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
