//This is the Matrix of Operator and Observable
//The horizontal axis order of the observables are listed as below
AFB_b_1,AFB_b_2,AFB_b_3,AFB_b_4,AFB_b_5,AFB_b_6,AFB_b_7,AFB_b_8,AFB_b_9,AFB_b_10,AFB_c_1,AFB_c_2,AFB_c_3,AFB_c_4,R_b_1,R_b_2,R_b_3,R_b_4,R_b_5,R_b_6,R_b_7,R_b_8,R_b_9,R_b_10,R_c_1,R_c_2,R_c_3,R_c_4,R_c_5,R_c_6
//The vertical axis order of the Operators are listed as below
cHQM,cHQP,cpt,cHtb,ctW,cbW,ctB,cpDC,cpl3,cpWB,cllp,cll,cpl,cle,cpe,cpq,cpq3,cpu,cpd,clq1,clq3,clu,cld,ceq,ceu,ced,cee,cpb,clQP,clt,clb,ceqt,cet,ceb,cWWW,cbB,ctH,cbH

//Matrix
-0.0017985,-0.0010427,-0.000923351,-0.000888656,-0.000864249,-0.000839422,-0.000833262,-0.000817481,-0.000811971,-0.000813604,-0.000114165,-0.000226417,-0.0002628,-0.000268861,-0.000360667,-0.000336049,-0.000300235,-0.000285688,-0.000280076,-0.000271061,-0.000258962,-0.000254741,-0.000246519,-0.00024185,0.000209726,0.000207238,0.00020461,0.00020223,0.00019943,0.000195787
-0.0226184,-0.0197871,-0.019123,-0.0186488,-0.0186381,-0.0191444,-0.0188895,-0.0182046,-0.0176328,-0.0177108,4.08165e-06,1.91106e-05,2.84904e-05,3.14036e-05,0.0174887,0.0146162,0.0123732,0.0135124,0.0134042,0.013268,0.013142,0.0130773,0.0129957,0.0129412,-0.00369636,-0.00405893,-0.00401288,-0.00399039,-0.00396169,-0.00393341
0.00201424,0.00143124,0.00132116,0.00128588,0.00126144,0.0012322,0.00122966,0.00121106,0.00120463,0.00121391,0.000127289,0.000258267,0.00030093,0.000308299,0.000588387,0.000618927,0.000617443,0.000615075,0.000616334,0.000616521,0.000612631,0.00061447,0.000613194,0.00061139,-0.000316796,-0.00031847,-0.000321262,-0.000321852,-0.000323283,-0.00031998
-2.67173e-05,-1.0607635e-05,-6.47587e-06,-5.25065e-06,-4.47775e-06,-3.75071e-06,-3.24471e-06,-2.74951e-06,-2.44523e-06,-2.32665e-06,-2.18056e-06,-3.86599e-06,-4.46667e-06,-4.56827e-06,-1.58997e-05,-1.78059e-05,-1.83802e-05,-1.84776e-05,-1.85421e-05,-1.85757e-05,-1.85765e-05,-1.86342e-05,-1.8621e-05,-1.86034e-05,7.37789e-06,7.45283e-06,7.52829e-06,7.56589e-06,7.6021e-06,7.54647e-06
0.001487305,0.00072549,0.000490411,0.000418543,0.000371035,0.000328473,0.000288196,0.00026253,0.000237114,0.0002094,9.93328e-05,2.01965e-05,1.45351e-05,1.37949e-05,0.000293382,0.000159427,7.33621e-05,4.07788e-05,2.59884e-05,4.31686e-06,-1.88684e-05,-3.12387e-05,-4.99975e-05,-5.80522e-05,-5.10012e-05,-4.29361e-05,-3.27667e-05,-2.68203e-05,-1.7913e-05,-1.51356e-05
-0.00491817,-0.00666558,-0.00770532,-0.00771729,-0.0079018,-0.00798338,-0.00814429,-0.0080458,-0.00794507,-0.00804711,-6.92075e-06,-3.68704e-06,-3.38319e-06,-3.23218e-06,0.00383281,0.00384219,0.00383935,0.00383938,0.00383926,0.00383895,0.00384457,0.00383754,0.00383878,0.00383886,-0.00113909,-0.00114565,-0.00115314,-0.00115919,-0.00116186,-0.0011584
0.001786985,0.00078391,0.000448286,0.000330693,0.000252311,0.000179611,0.000102215,5.6693e-05,6.31041e-06,-4.98228e-05,0.000120065,7.12558e-05,8.64573e-05,9.29031e-05,0.000218685,0.00022612,0.000215543,0.000209696,0.000209277,0.000205007,0.0002002,0.000198387,0.000194095,0.000194685,-0.000127012,-0.000129803,-0.000132545,-0.000134382,-0.000135889,-0.000135858
-0.0244841,-0.0177756,-0.0158336,-0.0159368,-0.0156866,-0.0148803,-0.0146271,-0.0145663,-0.0145713,-0.0148196,-0.00282409,-0.00515027,-0.00607179,-0.00619536,-0.00203076,-0.00229194,-0.00282168,-0.00289188,-0.00291311,-0.0029125,-0.00292865,-0.00296138,-0.00296831,-0.00298523,0.00389179,0.00394434,0.00399729,0.00402568,0.00404497,0.00400823
-0.0632213,-0.0446855,-0.0402829,-0.038947,-0.0374818,-0.0370049,-0.0363859,-0.0356447,-0.0345274,-0.0372618,-0.0012817,-0.00546661,-0.00715149,-0.00817497,-0.00437458,-0.00508051,-0.00643933,-0.00656754,-0.00663501,-0.00664433,-0.00670865,-0.00676362,-0.00677944,-0.00680949,0.0088644,0.00897707,0.00907544,0.00919272,0.00923779,0.00916464
-0.15539,-0.116608,-0.105857,-0.103062,-0.102843,-0.0990793,-0.0978347,-0.0977495,-0.0963356,-0.0974627,-0.0153463,-0.00108826,-0.000407619,0.00135142,-0.00180422,-0.00279346,-0.00411205,-0.00419853,-0.00432437,-0.00447032,-0.00450465,-0.00456547,-0.00456055,-0.00457562,0.00566998,0.00578715,0.00601978,0.00613227,0.00625556,0.00615183
0.0493273,0.0357229,0.0316407,0.0314113,0.0316832,0.0303082,0.0299109,0.0295544,0.0295711,0.0299209,0.00642116,0.010117,0.012713,0.0128207,0.00408193,0.00459222,0.00566534,0.00576608,0.00581987,0.00584435,0.00587614,0.00590953,0.00594973,0.00590741,-0.0077849,-0.00789297,-0.00799935,-0.00804384,-0.00812788,-0.00800719
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.035011,0.0265339,0.0250232,0.0247891,0.0235436,0.0227353,0.0235172,0.02356,0.0227443,0.0231079,0.0117393,0.0155476,0.0176032,0.0176678,0.00381363,0.00412517,0.00490739,0.00496813,0.00499776,0.005024,0.00504008,0.00506657,0.00508158,0.0050816,-0.00676097,-0.00681218,-0.00688023,-0.00691651,-0.00694781,-0.00686923
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07506,0.0600907,0.0559405,0.0543596,0.0536698,0.0534588,0.0521061,0.0518989,0.0511858,0.0509134,0.0145065,-0.00323109,-0.00683944,-0.00797017,-0.00280641,-0.00261572,-0.00281424,-0.00279952,-0.00279569,-0.00277924,-0.00276209,-0.00276229,-0.00275194,-0.0027438,0.00389496,0.0038599,0.00382463,0.00380479,0.00377641,0.00373986
0,0,0,0,0,0,0,0,0,0,0.00794826,-0.00438183,-0.00740349,-0.00822996,-0.00128239,-0.000973927,-0.000863494,-0.000835886,-0.000816885,-0.000808696,-0.000795209,-0.000787323,-0.000781663,-0.000774704,-0.0147768,-0.0145134,-0.0142475,-0.0141042,-0.0139269,-0.0138782
0,0,0,0,0,0,0,0,0,0,-0.00830741,0.00457595,0.00746096,0.00803651,-0.0145587,-0.0115966,-0.0103889,-0.0101316,-0.0100151,-0.00987628,-0.0097339,-0.00968641,-0.00958121,-0.00953681,-0.00163697,-0.00171505,-0.00179322,-0.00183893,-0.00187747,-0.00183221
0,0,0,0,0,0,0,0,0,0,0.0160288,0.0227858,0.0241281,0.0243267,-0.00256325,-0.00194466,-0.00171664,-0.00166661,-0.00164333,-0.00161786,-0.00159047,-0.00158175,-0.00156233,-0.00155463,0.00236702,0.00229465,0.00222147,0.00218194,0.00214116,0.00213909
