//This is the Matrix of Operator and Observable
//The horizontal axis order of the observables are listed as below
AFB_b_1,AFB_b_2,AFB_b_3,AFB_b_4,AFB_b_5,AFB_b_6,AFB_b_7,AFB_b_8,AFB_b_9,AFB_b_10,AFB_c_1,AFB_c_2,AFB_c_3,AFB_c_4,R_b_1,R_b_2,R_b_3,R_b_4,R_b_5,R_b_6,R_b_7,R_b_8,R_b_9,R_b_10,R_c_1,R_c_2,R_c_3,R_c_4,R_c_5,R_c_6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00128197,0.000971481,0.000858631,0.000831689,0.000821442,0.000809653,0.000795754,0.000789686,0.00078101,0.000776532,0.0012532,0.00123047,0.00121508,0.00120402,0.001192,0.00118413
0,0,0,0,0,0,0,0,0,0,-0.00466726,-0.0130871,-0.0217059,-0.0262465,0.000900036,0.0028915,0.00374632,0.00410693,0.00432566,0.00458819,0.00486425,0.00502074,0.00522656,0.00532983,-0.0745941,-0.080168,-0.0868561,-0.0909003,-0.0964494,-0.0981024
0,0,0,0,0,0,0,0,0,0,0.00447634,0.0128145,0.0232038,0.0250945,-0.0247238,-0.0448789,-0.0526686,-0.0562768,-0.0581394,-0.0606335,-0.0632444,-0.0648152,-0.0668317,-0.0679197,0.00317342,0.00297631,0.00270935,0.0025344,0.00235762,0.00263871
0,0,0,0,0,0,0,0,0,0,0.0314861,0.0930735,0.123177,0.135584,0.00180324,0.00576062,0.00749235,0.00825043,0.00863021,0.009159,0.00968608,0.0100028,0.0104279,0.010649,-0.010331,-0.0113596,-0.0125762,-0.0132884,-0.0142914,-0.0146523
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000901656,-0.00287965,-0.00374501,-0.00412512,-0.00431519,-0.00457855,-0.00484233,-0.00500176,-0.00521504,-0.00532115,-0.00546597,-0.00610305,-0.00687122,-0.0073267,-0.00795934,-0.00811421
0,0,0,0,0,0,0,0,0,0,-0.0248055,0.00741651,0.0236292,0.0298723,0.00412453,0.00818095,0.00981044,0.0105502,0.0109233,0.011445,0.011965,0.0122883,0.012702,0.0129164,0.0102466,0.0104045,0.0105998,0.0107116,0.0108605,0.0108357
0,0,0,0,0,0,0,0,0,0,-0.00302245,-0.00925296,-0.0159174,-0.0186759,0.00824124,0.0163544,0.0196191,0.0210897,0.0218467,0.0228763,0.0239376,0.0245828,0.0254018,0.0258223,-0.0270519,-0.029037,-0.0314115,-0.03284,-0.0348128,-0.0355298
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00412282,-0.00817912,-0.00981442,-0.0105484,-0.0109188,-0.011442,-0.0119696,-0.0122922,-0.0127024,-0.0129125,-0.0143245,-0.0156062,-0.0171715,-0.0181106,-0.0193867,-0.0196903
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.0143459,-0.0197066,-0.0208136,-0.0208642,-0.0212297,-0.0212909,-0.0215271,-0.0219568,-0.0220719,-0.0220004,-9.61899e-06,-8.19677e-06,-1.01495e-05,-1.07324e-05,-0.00275014,-0.00221574,-0.00184542,-0.00201711,-0.00199787,-0.00197371,-0.00195135,-0.00194002,-0.00192555,-0.0019159,0.000556085,0.000610742,0.00060177,0.000597359,0.000591831,0.000587051
0.0435589,0.0634361,0.0705326,0.0749651,0.0773628,0.0781472,0.0830042,0.0844562,0.0846168,0.0911322,0,0,0,0,0.0270082,0.0506362,0.0633245,0.0681863,0.0707356,0.0740871,0.0774452,0.079573,0.0823101,0.0837417,-0.0178241,-0.0192596,-0.0210165,-0.0220459,-0.0234699,-0.0238248
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.0171446,-0.0647318,-0.0922282,-0.103404,-0.108715,-0.117338,-0.124597,-0.129107,-0.135639,-0.138892,0,0,0,0,0.00214496,0.0070622,0.009825,0.0109099,0.0114642,0.0122169,0.0129778,0.0134465,0.014059,0.0143782,-0.00276546,-0.00308154,-0.00346557,-0.00369431,-0.00400877,-0.00409065
0.10288,0.172472,0.204026,0.216969,0.223769,0.233135,0.240468,0.245666,0.253792,0.255401,0,0,0,0,-0.0125163,-0.0185734,-0.0216188,-0.0227616,-0.0233453,-0.0241151,-0.0248989,-0.0253948,-0.0260213,-0.0263423,0.00608509,0.00642912,0.00684077,0.0070878,0.00741967,0.00749448
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0152613,0.0244271,0.0295482,0.0302944,0.0320523,0.0320534,0.0350202,0.0351518,0.0360887,0.0375894,0,0,0,0,0.00930111,0.0196691,0.025323,0.0275232,0.028672,0.0301871,0.0317079,0.0326442,0.0339141,0.0345487,-0.00712771,-0.00777404,-0.00856323,-0.00902608,-0.00967024,-0.00982923
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.00953228,-0.00704034,-0.00600168,-0.0056525,-0.005616,-0.00521618,-0.00510105,-0.00488154,-0.00483869,-0.00479221,1.87184e-05,2.51635e-05,2.99251e-05,3.10252e-05,-0.000368167,-0.00140659,-0.0017146,-0.00179937,-0.00183825,-0.00188692,-0.00193534,-0.00195347,-0.00198508,-0.00200496,0.000492516,0.000520322,0.000549871,0.00056636,0.00058339,0.000587701
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
