//This is the Matrix of Operator and Observable
//The horizontal axis order of the observables are listed as below
clu,clb,cld,ced,ceb,ceu,ceqt,cpt,cpu,cpd,cpb,cee,cle,cll,cllp,cpe,ceq,cpl,cpl3,cHQP,clq1,clq3,clQP,cHQM,cpq,cpq3,cpWB,cpDC,cWWW,cHtb,ctW,cbW,ctB,cbB
//different energy is seperated to different matrix
//The vertical axis order of the Operators are listed as below
S,T,Y,W,GZ,KappaGamma,LambdaGamma,cptprime,cpbprime,cHQMprime,cHQPprime,cHtbprime,ctWprime,cbWprime,ctBprime,cbBprime

//Matrix
0,0,0,0,0,0,0,6.70725657122402,6.70725657122402,-3.35362828561201,-3.35362828561201,0,0,0,0,-10.060884856836031,0,-5.030442428418016,0,0.8384070714030025,0,0,0,0.8384070714030025,1.676814142806005,0,0,20.12176971367206,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32.99018001334337,0,0,0,0,0,0
6.70725657122402,-3.35362828561201,-3.35362828561201,-6.70725657122402,-6.70725657122402,13.41451314244804,3.35362828561201,-6.70725657122402,-6.70725657122402,3.35362828561201,3.35362828561201,-10.06088485683603,-10.06088485683603,-2.515221214209007,0,10.060884856836031,3.35362828561201,5.030442428418016,0,-0.8384070714030025,1.676814142806005,0,0.8384070714030025,-0.8384070714030025,-1.676814142806005,0,0,-10.06088485683603,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,8.247545003335839,-16.495090006671685,0,0,0,-16.495090006671685,-8.247545003335842,0,-16.495090006671685,-8.24754500333584,8.247545003335842,0,-16.495090006671685,0,0,0,0,0,0,0,0 
0,0,0,0,0,0,0,5.139793924903177,5.139793924903177,-2.5698969624515886,-2.5698969624515886,0,0,0,0,-7.709690887354766,0,-3.854845443677383,-12.640244562994303,-5.677648040884253,0,0,0,6.962596522110047,1.2849484812257943,-12.640244562994303,0,15.419381774709532,0,0,0,0,0,0
0,0,0,0,0,0,0,-6.70725657122402,-6.70725657122402,3.35362828561201,3.35362828561201,0,0,0,0,10.060884856836031,0,5.030442428418016,0,-0.8384070714030025,0,0,0,-0.8384070714030025,-1.676814142806005,0,9.1092041710643,-20.12176971367206,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.959768156018054,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
